Phone,Source,Notes
(212) 888-0001,Federal_Registry_Upload,Opted out via FTC
(212) 888-0002,Federal_Registry_Upload,Opted out via FTC
(212) 888-0003,Federal_Registry_Upload,Opted out via FTC
(212) 888-0004,Federal_Registry_Upload,Opted out via FTC
(212) 888-0005,Federal_Registry_Upload,Opted out via FTC
(310) 888-0001,State_AG_Enforcement,State registry
(310) 888-0002,State_AG_Enforcement,State registry
(310) 888-0003,State_AG_Enforcement,State registry
(310) 888-0004,State_AG_Enforcement,State registry
(310) 888-0005,State_AG_Enforcement,State registry
(415) 888-0001,Litigator_Scrub,Known TCPA litigator
(415) 888-0002,Litigator_Scrub,Known TCPA litigator
(415) 888-0003,Litigator_Scrub,Known TCPA litigator
(415) 888-0004,Litigator_Scrub,Known TCPA litigator
(415) 888-0005,Litigator_Scrub,Known TCPA litigator
(602) 888-0001,Direct_Customer_Optout,Requested stop calling
(602) 888-0002,Direct_Customer_Optout,Requested stop calling
(602) 888-0003,Direct_Customer_Optout,Requested stop calling
(602) 888-0004,Direct_Customer_Optout,Requested stop calling
(602) 888-0005,Direct_Customer_Optout,Requested stop calling
