First Name,Last Name,Company,Phone Number,City,State
Michael,Scott,Dunder Mifflin,+1 (212) 234-1000,Scranton,PA
Dwight,Schrute,Schrute Farms,310-234-1015,Honesdale,PA
Jim,Halpert,Athlead,4152341020,Philadelphia,PA
Pam,Beesly,Dunder Mifflin,(602) 234-1005,Scranton,PA
Stanley,Hudson,Paper Sales,212-234-1000,Scranton,PA
Ryan,Howard,WUPHF Inc,212-555-0199,New York,NY
Kelly,Kapoor,Customer Care,310-555-0144,Los Angeles,CA
Andy,Bernard,Cornell Alumni,415-555-0188,San Francisco,CA
Angela,Martin,Accounting Dept,602-555-0177,Phoenix,AZ
Kevin,Malone,Malone Bar,702-555-0166,Las Vegas,NV
Toby,Flenderson,HR Dept,818-555-0155,Burbank,CA
Oscar,Martinez,State Senator,917-555-0133,Brooklyn,NY
Phyllis,Vance,Vance Refrigeration,555-555-0122,Scranton,PA
Creed,Bratton,Quality Assurance,213-444-5566,Scranton,PA
Meredith,Palmer,Supplier Relations,312-777-8899,Chicago,IL
Darryl,Philbin,Warehouse Ops,404-333-2211,Atlanta,GA
Erin,Hannon,Reception Desk,617-999-0011,Boston,MA
David,Wallace,CFO Office,206-888-7744,Seattle,WA
Jan,Levinson,Corporate VP,305-666-5522,Miami,FL
Bob,Vance,Vance Refrigeration,12345,Scranton,PA
Holly,Flax,Nashua Branch,0123456789,Nashua,NH
Gabe,Lewis,Sabre HQ,not_a_valid_number,Tallahassee,FL
Nellie,Bertram,Special Projects,555-000,Scranton,PA
Clark,Green,Junior Sales,312-777-8899,Chicago,IL
Pete,Miller,Customer Support,404-333-2211,Atlanta,GA
